a|b|paa|pbb|pab|acore|bcore|sbm_pmat|na|N|taa|tbb
47|67|0.5695122617292042|0.385777486482058|0.044710251788737776|(0.47248325428103227, 0.23618090452261306)|(0.6975141097628635, 0.3316582914572864)|(0.0006150527724858025, 4.4682071992719434e-05, 0.0014273649826338473)|0.6654420890631981|16404|0.9622295021455266|0.9452258280361325
47|68|0.2843795156982091|0.6699161448526514|0.045704339449139555|(0.8204782583329558, 0.38190954773869346)|(0.3483034331489101, 0.18592964824120603)|(0.0005327756493584569, 2.3793400473237343e-05, 0.00038768671196168735)|0.3505871890774985|31461|0.9256190985212899|0.9670132579049665
47|71|0.12592204744832536|0.8707715503971803|0.003306402154494307|(1.0664751178700609, 0.4371859296482412)|(0.15422812075696338, 0.06532663316582915)|(0.0006542533882175523, 2.173429474125673e-06, 0.00028969630605798363)|0.20740557352190261|55350|0.9870413650268863|0.9981050502356184
47|72|0.2976816798956928|0.6959649564242744|0.006353363680032939|(0.8523865420247263, 0.35678391959798994)|(0.36458504843870077, 0.15577889447236182)|(0.000666997498109106, 4.154489015501128e-06, 0.0005313223895758862)|0.37271640296971886|30124|0.9894412712291273|0.9954563114737337
47|73|0.1329596263271379|0.8634629272065187|0.003577446466343322|(1.0575251232926204, 0.4371859296482412)|(0.16284215304734054, 0.07035175879396985)|(0.0006583068046210422, 2.762832595997852e-06, 0.0004161053990592435)|0.24398856872417496|46538|0.9867254534915763|0.9979327132953023
47|74|0.14184809297757406|0.8521552900092759|0.005996617013149998|(1.0436728282441898, 0.4321608040201005)|(0.17374144217703608, 0.07537688442211056)|(0.0006475156560475743, 6.040245036967261e-06, 0.0007577009792635463)|0.315566437517657|36415|0.9793000828750094|0.9964938362982058
47|75|0.13567289336442764|0.8589239033638792|0.0054032032716931164|(1.0519677654971802, 0.4371859296482412)|(0.16619216748438295, 0.07537688442211056)|(0.0006415260614837876, 4.048405451472814e-06, 0.0004079470466128432)|0.2468053765420733|46028|0.9804761590216375|0.9968645291716992
47|76|0.6598757386715932|0.33497412276816785|0.005150138560238906|(0.41026558721778256, 0.1708542713567839)|(0.8081825761497425, 0.33668341708542715)|(0.0006949603447615272, 4.1830493344316285e-06, 0.000839482546155129)|0.6089682431511517|17829|0.9961128143415184|0.9923712770144889
47|77|0.700298170682569|0.29469202460579685|0.005009804711634029|(0.36092965681151135, 0.15075376884422112)|(0.8576896718709359, 0.35678391959798994)|(0.0006932682772722087, 6.156222818955885e-06, 0.0017985413953061358)|0.7091313088562057|15025|0.9964358403485806|0.9915715738334652
47|78|0.24740593229221255|0.7445808043753752|0.00801326333241227|(0.9119243494291734, 0.38190954773869346)|(0.3030128756032843, 0.1306532663316583)|(0.0006625418817153955, 4.4536126494440245e-06, 0.0003435767271370632)|0.2981515670529617|37290|0.984063518532555|0.9946477439063195
47|79|0.5669983145761974|0.4300440384929049|0.002957646930897624|(0.5267010793359788, 0.21608040201005024)|(0.694428278739402, 0.2864321608040201)|(0.0006968397028536738, 2.5807453059611135e-06, 0.0010658727353505832)|0.5934649783051448|18586|0.997398622800306|0.9965730124732267
